tweet_text,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
RT @CNeroTV: #UPDATED: Evacuation Order,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theres nothing more radical” and dangerous to Life and property than Fascism and willfully giving one’s ENTIRE GOVERNMENT over to them. Including those with the,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Dear World, please help us.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @TCDSB: Support relief efforts for victims of Alberta wildfire &amp; earthquake in Ecuador @archtoronto  #TCDSBisFami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
These heroes brought students to their families even when it meant being separated from their own #albertastrong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The CHURCH needs to be present in #CYCLONEIDAI affected areas. People are traumatized - both survivors &amp; rescuers- and they need counselling &amp; prayer @EFZZIMBABWE @ShingiMunyeza @tomdeuschle @zccinzim @rashidmahiya1 @LovemoreNyatsin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
This is greatly sad. The government should rwach out to help affected people.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The way he says Ngatinyararei” as if he is addressing school children. The sign language lady sums it up by just putting a finger on her lips. Shhh ᾒB @Mathuthu,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @RaptorCulture: #Ecuador is in confusion after a magnitude 7.8 Earthquake hits the country. Watch the video of the moment it hit: :,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @ShakingEarth: Massive #Earthquake #Ecuador - President #Correa reports that at least 233 people have been killed -,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"RT @PSYCHICTWINS: Huge Ecuador earthquake of 7.8 magnitude kills dozens. Prayers out, stay strong Ecuador.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#rt Ecuador quake death toll hits 413: At least 413 people are now known to have died in the earthquak  #follow,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"@BTS_twt is sad ὢD but..It would be really important if you guys say the same for my country ecuador.. We had an earthquake of 7.8, 200died",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Please donate to the damaged by the earthquake in Ecuador - finchelinthetardis: Yesterday there was a 7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"CNN Student News - 04/18/16: Earthquakes claim lives and homes in Ecuador and Japan, divers excav  #studentnews",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RT @LauraNBC6: Local Ecuadorians collecting donations for #earthquake victims at Mi Lindo Ecuador Restaurant. More on their efforts 6pm on,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RT @GISCorps: GISCorps volunteers ready to assist with #Ecuadorearthquake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"RT @andrexebastian: If you are in NY, donations for Ecuador’s relief can be made @ TimesSq 7pm tom or dropped off @ 301W 57th under Carla N",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@Dyrus Hi Dyrus! Im Ecuadorian and I watch your streams. Please pray for Ecuador. 7.8 earthquake.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Our thoughts are with those affected by #EcuadorEarthquake. You can help survivors of this disaster:  (via @UNOCHA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
