tweet_text,predictions_event_type,event_type_label,class_label
"There is no reason for the increase of massive deadly &amp; costly droughts &amp; floods except that the GOP’s climate change denial is so poor. Billions of $ are given each year, with so many lives lost all because of gross mismanagement of our precious planet. Remedy now, vote Dem.",floods,wildfires,not_humanitarian
Thank you Minnesota cottage owner/user Wallace Lake our family is extremely grateful for the all support efforts,floods,wildfires,sympathy_and_support
RT @maruvaangu: I think the govt may have to come in because from what I gather the most affected areas are inaccessible by road.,floods,hurricane,other_relevant_information
"Sorry, but fema was disappointing by the end of the Midwest floods, I believe some (trump)one diverted their funds to build a wall",floods,hurricane,other_relevant_information
Dasani truly is swamp water ὠ2,floods,hurricane,not_humanitarian
Praying for Marsh Harbour,floods,hurricane,sympathy_and_support
Dasani isnt water,floods,hurricane,not_humanitarian
Godspeed from #DCsBravest to our brothers and sisters in @mcfrs Maryland Task Force 1 and @ffxfirerescue Task Force 1 as they deploy their Urban Search and Rescue Teams to Florida In preparation for Hurricane Dorian.,floods,hurricane,sympathy_and_support
RT @Ranaethevirgo: I’ll drink the flood waters before Dasani ᾒE,floods,hurricane,other_relevant_information
"A quick (slow actually) 32oz dasaniwater water chug. As stated in the video, I didn’t drink any water today, mostly tea and sodas (or pops if you are in WV). I’ve been watching",floods,hurricane,not_humanitarian
"Our #NEGuard Soldiers supporting #HurricaneFlorence relief efforts met with ARNG Director LTG Timothy Kadavy and @USNationalGuard Command Chief Warrant Officer CW5 Teresa Domeier yesterday. It’s great to see Nebraska here,” said Kadavy. #NationalGuard #NebraskaProud",floods,hurricane,other_relevant_information
Checked out Golcha Cafe with @urvisht . I tried #chickenfriedrice #panipuri and an #eggchickenroll. #indian #buffalo #kenmore The food was pretty good yelpbuffalo @yelp @ Golcha Cafe -,floods,hurricane,not_humanitarian
Difficult roads always lead to beautiful destinations @myssahofficial @ms_sheazi @priyankachopra @iamnehakakkar selenagomez #myssahofficial #myssahfans #myssahsinger #myssah,floods,hurricane,not_humanitarian
The V90 Cross Country. Photographed in Ogunquit Maine. #volvo #volvocars #volvov90 #volvov90cc #crosscountry #volvopics #volvolove #volvoforlife #nikon #nikonphotography #nikonautomotive,floods,hurricane,not_humanitarian
"A state of emergency has been declared in the state of Maryland due to Hurricane Florence. Please tune into your local news channel, MEMA, or emergency radio station for further updates. Here are some suggestions",floods,hurricane,caution_and_advice
"There are Domestic Rats, Rabbits, Hamsters and a Guinea Pig looking for their forever homes petsmartniagarafalls for the big adoption event. #PicMe #wellandspca #niagarafallshumanesociety",floods,hurricane,not_humanitarian
"How FREAKY are these world-wide floods? Go ahead, Denier! Tell me this is just normal weather flux!",floods,hurricane,not_humanitarian
i hope gods punishment for me being elected gayor is you getting carried away in a tornado of cow shit you vapid sewer wench,floods,hurricane,other_relevant_information
Flooding victim says exactly how she feels about being interviewed live on CNN  via @MetroUK,floods,hurricane,other_relevant_information
And what about the serious #flooding and millions #displaced in #SouthAsia?  #floods #monsoons #monsoonrains #rains,floods,hurricane,displaced_people_and_evacuations
RTs appreciated. Someone I know lost their home in the flood.Your donation goes directly to her and those affected.,floods,hurricane,rescue_volunteering_or_donation_effort
God bless all the people in need.. #floods #livesmatter #India #PK #Bangladesh #Nepal #texas #harvey.. Prayers for everyone.. #helpifucan,floods,hurricane,sympathy_and_support
Later when the flooding is off the front page we will still be there repairing and rebuilding homes.”--MDS,floods,hurricane,other_relevant_information
Ongoing catastrophic and life-threatening flooding @CBSMiami,floods,hurricane,other_relevant_information
"Really agree, especially with the 1000 deaths in South Asia from their epic rains &amp; floods",floods,hurricane,injured_or_dead_people
National Disaster Response Force has been called into the flood affected areas of Malkajgiri in Hyderabad on Thurs,floods,hurricane,rescue_volunteering_or_donation_effort
Photos From The South Asian Flood That Left 1200 People Dead But No One Talked About -,floods,hurricane,injured_or_dead_people
"During a flood, water levels and the rate the water is flowing can quickly change.  #FloodSafety #SummerSafety",floods,hurricane,caution_and_advice
Flood rescuer Austin Seth saw call for help on Facebook  via @sky1876online,floods,hurricane,requests_or_urgent_needs
"Flood-damaged material collection tops 4,000 tonnes",floods,hurricane,infrastructure_and_utility_damage
"41 Million Affected And 1,200 Dead By Flooding In India, Bangladesh And Nepal  #ENVIRONMENT #SOCIETY #FLOOD #NEPAL",floods,hurricane,injured_or_dead_people
Heavy Rain Lashes Chamarajanagar; 4 Buffaloes Washed Away in Flash Floods:  via @YouTube,floods,hurricane,other_relevant_information
Shock new developments revealed after lorry driver crashes on M1 and kills eight,floods,hurricane,injured_or_dead_people
I just saw that India has a flood that has killed thousands and now this? I sure do hope its not the end of the,floods,hurricane,injured_or_dead_people
Please Support @babygirlkeil Flood Relief for 3D Ranch Ministries #3dranchministries #helpthehorses Donate Here -,floods,hurricane,rescue_volunteering_or_donation_effort
Flood insurance policies have a 30-day waiting period before they go into effect. Plan now for floods  #PlanAhead,floods,hurricane,caution_and_advice
.@asadowaisi sends relief for Bihar Flood victims.,floods,hurricane,rescue_volunteering_or_donation_effort
Massive reach out to thousand flood victims in makurdi.,floods,hurricane,rescue_volunteering_or_donation_effort
"Media Release: South Asia #floods crisis: Disease outbreaks, funding shortages compound suffering of #flood survivors.",floods,hurricane,other_relevant_information
Assam: Ramdev under fire for sending expired products to Majuli flood victims,floods,hurricane,other_relevant_information
