tweet_text,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
"There is no reason for the increase of massive deadly &amp; costly droughts &amp; floods except that the GOP’s climate change denial is so poor. Billions of $ are given each year, with so many lives lost all because of gross mismanagement of our precious planet. Remedy now, vote Dem.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Thank you Minnesota cottage owner/user Wallace Lake our family is extremely grateful for the all support efforts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @maruvaangu: I think the govt may have to come in because from what I gather the most affected areas are inaccessible by road.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Sorry, but fema was disappointing by the end of the Midwest floods, I believe some (trump)one diverted their funds to build a wall",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dasani truly is swamp water ὠ2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Praying for Marsh Harbour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dasani isnt water,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Godspeed from #DCsBravest to our brothers and sisters in @mcfrs Maryland Task Force 1 and @ffxfirerescue Task Force 1 as they deploy their Urban Search and Rescue Teams to Florida In preparation for Hurricane Dorian.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @Ranaethevirgo: I’ll drink the flood waters before Dasani ᾒE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"A quick (slow actually) 32oz dasaniwater water chug. As stated in the video, I didn’t drink any water today, mostly tea and sodas (or pops if you are in WV). I’ve been watching",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Our #NEGuard Soldiers supporting #HurricaneFlorence relief efforts met with ARNG Director LTG Timothy Kadavy and @USNationalGuard Command Chief Warrant Officer CW5 Teresa Domeier yesterday. It’s great to see Nebraska here,” said Kadavy. #NationalGuard #NebraskaProud",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Checked out Golcha Cafe with @urvisht . I tried #chickenfriedrice #panipuri and an #eggchickenroll. #indian #buffalo #kenmore The food was pretty good yelpbuffalo @yelp @ Golcha Cafe -,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Difficult roads always lead to beautiful destinations @myssahofficial @ms_sheazi @priyankachopra @iamnehakakkar selenagomez #myssahofficial #myssahfans #myssahsinger #myssah,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The V90 Cross Country. Photographed in Ogunquit Maine. #volvo #volvocars #volvov90 #volvov90cc #crosscountry #volvopics #volvolove #volvoforlife #nikon #nikonphotography #nikonautomotive,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"A state of emergency has been declared in the state of Maryland due to Hurricane Florence. Please tune into your local news channel, MEMA, or emergency radio station for further updates. Here are some suggestions",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"There are Domestic Rats, Rabbits, Hamsters and a Guinea Pig looking for their forever homes petsmartniagarafalls for the big adoption event. #PicMe #wellandspca #niagarafallshumanesociety",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"How FREAKY are these world-wide floods? Go ahead, Denier! Tell me this is just normal weather flux!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
i hope gods punishment for me being elected gayor is you getting carried away in a tornado of cow shit you vapid sewer wench,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Flooding victim says exactly how she feels about being interviewed live on CNN  via @MetroUK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
And what about the serious #flooding and millions #displaced in #SouthAsia?  #floods #monsoons #monsoonrains #rains,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTs appreciated. Someone I know lost their home in the flood.Your donation goes directly to her and those affected.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
God bless all the people in need.. #floods #livesmatter #India #PK #Bangladesh #Nepal #texas #harvey.. Prayers for everyone.. #helpifucan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Later when the flooding is off the front page we will still be there repairing and rebuilding homes.”--MDS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ongoing catastrophic and life-threatening flooding @CBSMiami,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Really agree, especially with the 1000 deaths in South Asia from their epic rains &amp; floods",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
National Disaster Response Force has been called into the flood affected areas of Malkajgiri in Hyderabad on Thurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Photos From The South Asian Flood That Left 1200 People Dead But No One Talked About -,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"During a flood, water levels and the rate the water is flowing can quickly change.  #FloodSafety #SummerSafety",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flood rescuer Austin Seth saw call for help on Facebook  via @sky1876online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Flood-damaged material collection tops 4,000 tonnes",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
