tweet_text,predictions_event_type,event_type_label,class_label
should start a go fund me and get a million people to donate $5. help the people and get a sweet jersey,hurricane,wildfires,rescue_volunteering_or_donation_effort
@realDonaldTrump Some evacuation centers around Woodland Hills and Thousand Oaks are at capacity. Check for closures and updates:,hurricane,wildfires,displaced_people_and_evacuations
Im not even surprised anymore. We figured sooner or later the little ppl will pay 4 the huge tax scam which was #1 on Trumps list. The Repubs sold their soul 2 the devil named GREED. Hurricane victims 2 still wait 4 help after Trump cut money from FEMA. GOP has no heart‼️ὄ7,hurricane,wildfires,not_humanitarian
Targeted. So who lived in the homes that were targeted ?,hurricane,wildfires,other_relevant_information
"@realDonaldTrump @FEMA_Brock @SecretaryZinke @fema @realDonaldTrump, remember this? More than 40 people died while you tweeted it.",hurricane,wildfires,injured_or_dead_people
"Screw displaced Americans , they parasites are invading America,they have to be the top priority! The Left truly hates Americans!",hurricane,wildfires,displaced_people_and_evacuations
Ὢ8Ὢ8Ὢ8Ὢ8 EVACUATION LIFT UPDATE!! ὄ7ἿCὄ7ἿC,hurricane,wildfires,displaced_people_and_evacuations
SHUT THE FUC UP YOU ARE LITERALLY THE BIGGEST PIECE OF SHIT ON THIS PLANET. FOR THOSE OF US AFFECTED BY THESE FIRES AND THE SHOOTING EITHER HELP US OR SIMPLY SHIT THE FUC UP,hurricane,wildfires,not_humanitarian
Thread. Please donate ὄ7,hurricane,wildfires,requests_or_urgent_needs
RT @StephRendon: Red Cross volunteers are incredible people. This one in particular just made me &amp; @gretagwen cry:,hurricane,wildfires,rescue_volunteering_or_donation_effort
Read. Then have a good cry. Then find a way to help those in need.,hurricane,wildfires,requests_or_urgent_needs
"Heartless and mentally unstable. @FLOTUS please get your husband some help. A narcissist diagnosis would help us understand that his words and actions are because he’s psychologically impaired. I implore you, for the sake and safety of our nation ὢA#EducateAndHealMentalDisease",hurricane,wildfires,not_humanitarian
".@realDonaldTrump is a willfully ignorant #ClimateDenier which is costing lives &amp; treasure dealing with fires, floods, hurricanes, etc. #ActOnClimate",hurricane,wildfires,not_humanitarian
Blame the Administration in Charge. I wonder how many of those people in tents voted for The Moron.,hurricane,wildfires,not_humanitarian
"Natural Disaster proclamation overrides emminent domain laws. Good luck getting paid half the value of your homes, while the aid money will disappear into Gov coffers and youll be in a fema trailer. Stop the heist!",hurricane,wildfires,not_humanitarian
