tweet_text,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
should start a go fund me and get a million people to donate $5. help the people and get a sweet jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@realDonaldTrump Some evacuation centers around Woodland Hills and Thousand Oaks are at capacity. Check for closures and updates:,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Im not even surprised anymore. We figured sooner or later the little ppl will pay 4 the huge tax scam which was #1 on Trumps list. The Repubs sold their soul 2 the devil named GREED. Hurricane victims 2 still wait 4 help after Trump cut money from FEMA. GOP has no heart‼️ὄ7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Targeted. So who lived in the homes that were targeted ?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"@realDonaldTrump @FEMA_Brock @SecretaryZinke @fema @realDonaldTrump, remember this? More than 40 people died while you tweeted it.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Screw displaced Americans , they parasites are invading America,they have to be the top priority! The Left truly hates Americans!",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ὢ8Ὢ8Ὢ8Ὢ8 EVACUATION LIFT UPDATE!! ὄ7ἿCὄ7ἿC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHUT THE FUC UP YOU ARE LITERALLY THE BIGGEST PIECE OF SHIT ON THIS PLANET. FOR THOSE OF US AFFECTED BY THESE FIRES AND THE SHOOTING EITHER HELP US OR SIMPLY SHIT THE FUC UP,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Thread. Please donate ὄ7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @StephRendon: Red Cross volunteers are incredible people. This one in particular just made me &amp; @gretagwen cry:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
