tweet_text,predictions_event_type,event_type_label,class_label
"I can’t imagine hitting send on a tweet like this when 9 people are dead, many more injured, and thousands are away from their homes. I think those people would rather see a tweet of hope or optimism from the President and not one threatening to withhold federal funding. Sad.",wildfires,wildfires,injured_or_dead_people
"#CampFire has killed 77 people, torched an area the size of Chicago,” and is not even halfway done burning. Make no mistake: Political inaction on climate change is a death sentence.",wildfires,wildfires,injured_or_dead_people
"ὒ5 California Wildfire Update: As of Wednesday, November 14, the #CampFire (Butte County) has burned 138,000 acres. The death toll has risen to 56. 130 people missing. #CaliforniaWildfire",wildfires,wildfires,injured_or_dead_people
"Kanye West reportedly raises $500,000 for California wildfire relief",wildfires,wildfires,rescue_volunteering_or_donation_effort
This morning @KTLA is having a telethon to raise money for those impacted by the California wildfires. If you are in the thankful and giving spirit please call and donate. We just did. 1-844-291-7270 #HappyThanksgiving,wildfires,wildfires,rescue_volunteering_or_donation_effort
Search For The Missing In California Wildfires Continues: Dozens of disaster workers from,wildfires,wildfires,missing_or_found_people
RT @sacbee_news: UPDATE: The Camp Fire death toll rises to 76 #CampFire #Paradise #California #wildfires  .,wildfires,wildfires,injured_or_dead_people
"The nations deadliest wildfire in a century killed at least 85 people, and 249 are on a list of those unaccounted for. The number of missing dropped in recent days as officials confirmed that more people were alive.",wildfires,wildfires,injured_or_dead_people
"#Packers donate $250,000 to @AaronRodgers12 fundraising campaign for California fire recovery. Rodgers donated $1 million and invited others to donate and retweet his message on Twitter with #Retweet4Good. To learn more or donate, go to . #Packers100",wildfires,wildfires,rescue_volunteering_or_donation_effort
"@realDonaldTrump @FoxNews Will you talk about raking the forests, blaming #California for the fires. #CaliforniaWildfires #ClimateChangeIsReal #GOPbastards #HandsOffCalifornia #TrumpRussia #MARINESagainstTrump #VeteransAgainstTrump",wildfires,wildfires,not_humanitarian
"@WhiteHouse Trump brought shame upon his office this week more than Obama ever did. Disrespected people who died and lost homes in California fires, the firefighters who have been risking their lives AND our veterans. Those in the White House must be embarrassed to work for this asshole.",wildfires,wildfires,injured_or_dead_people
"Hey guys. If you could say a prayer for some family members in Thousand Oaks, California and some friends in Camarillo, California (USA), I would appreciate it. Big fires there. Thanks so much. ✌ἿB❤️ὄDἰ8ᾑ3",wildfires,wildfires,sympathy_and_support
"1,000 people are missing or dead in California. If this had been a terrorist attack, we’d have torn our laws apart to prevent another. Instead we have Trump and his EPA nominee Wheeler acting in energy executives’ interests for policies to cause even worse wildfires in the future",wildfires,wildfires,missing_or_found_people
"Ive just posted a new blog: Nearly 1,000 Still Missing in California Wildfires",wildfires,wildfires,missing_or_found_people
We just found out that insurance companies will not pay more than $200 s.f. for California fire residents. Our company has committed to helping. Homes will be 50% retardant  PM us.,wildfires,wildfires,rescue_volunteering_or_donation_effort
California wildfires: Trump surveys ruins as death toll touches 71 via @news_all_in,wildfires,wildfires,injured_or_dead_people
"One more fatality added to death toll of #CampFire, bringing total number of deaths to at least 77. The number of those unaccounted for decreased to 993. At least 80 people died in California since wildfires broke out earlier this month.  #WoolseyFire",wildfires,wildfires,injured_or_dead_people
Evacuees at Camp Fire incident center being told they’ll be able to check on their property in days to weeks.” Area not habitable for months.” Damage comparable to Cat. 5 hurricane #campfire @KQEDnews,wildfires,wildfires,displaced_people_and_evacuations
Authorities Say 42 People Are Dead in Camp Fire In Northern California:,wildfires,wildfires,injured_or_dead_people
"California #WILDFIRE Location Maps Update: Malibu, Paradise Homes Destroyed by Blaze, Dozens of Casualties Reported  #GPWX",wildfires,wildfires,infrastructure_and_utility_damage
"The wildfire has killed at least 71 people, with the number climbing daily.",wildfires,wildfires,injured_or_dead_people
